id,slug,nom,cp,ville,adresse,departement
"b4aad0f0-a05a-405f-8de2-fcd1b2832c90","audika-france-66600","AUDIKA FRANCE","66600","","AV. LEDRU ROLLIN","66"
"9724721f-542f-4e7c-a763-71ba64c48cce","audika-france-76190","AUDIKA FRANCE","76190","","13 AVENUE DU GENERAL LECLERC","76"
"15426a31-38a0-466c-89c3-e542353308ac","audika-france-77300","AUDIKA FRANCE","77300","","23 PL. DE LA REPUBLIQUE","77"
"509ec5b9-bd88-4cc5-b743-d87e41cd823c","audika-france-77400","AUDIKA FRANCE","77400","","2 RUE DES TANNEURS","77"
"28f13c5c-dd84-401b-8434-784a02849ea0","audika-france-78800","AUDIKA FRANCE","78800","","11 RUE GAMBETTA","78"
"07a139e0-3695-4e43-81d6-d52ab3ae34e2","audika-france-78370","AUDIKA FRANCE","78370","","1080 AV. DU GENERAL DE GAULLE","78"
"4e13c472-a871-486b-aa32-28178d321f86","audika-france-64130","AUDIKA FRANCE","64130","","10 RUE PASTEUR","64"
"30b15c50-cbc0-4e63-84fb-1ee700fd6e08","audika-france-69400","AUDIKA FRANCE","69400","","242 RUE DE LA PAIX","69"
"a288032e-59ba-457a-b809-783f207a3bf7","audika-france-78200","AUDIKA FRANCE","78200","","5/7 RUE AUGUSTE GOUST","78"
"b4d96919-afde-4a31-a2b0-f1fc3552e804","audika-france-62800","AUDIKA FRANCE","62800","","151 RUE JEAN BAPTISTE DEFERNEZ","62"
"a558cfb8-a36b-49c4-8e8d-893ba8ede8a7","audika-france-69008","AUDIKA FRANCE","69008","","2 PLACE AMBROISE COURTOIS","69"
"7471e46f-8289-47b8-9f7b-41e38afcde96","audika-france-65000","AUDIKA FRANCE","65000","","22 PL. DU MARCHE BRAUHAUBAN","65"
"b67d1919-7b49-447f-967a-1d4509c6581f","audika-france-67340","AUDIKA FRANCE","67340","","48 RUE DU MARECHAL FOCH","67"
"0ad4850f-35cf-4671-ab5c-ffc69c80ee4d","audika-france-62100","AUDIKA FRANCE","62100","","17 BIS RUE DU TEMPLE","62"
"c1874a3f-9972-4d95-b59a-004e7a4f283b","audika-france-81100","AUDIKA FRANCE","81100","","38 RUE MAHUZIES","81"
"e2e29be0-feee-48c9-8df6-0702905f10c8","audika-france-81000","AUDIKA FRANCE","81000","","21 AV. FRANCOIS VERDIER","81"
"6853b2de-b265-4ae1-87b2-b9c2c674750b","audika-france-81600","AUDIKA FRANCE","81600","","1 RUE DES FRERES DELGA","81"
"f8f86c6b-a17f-46d7-aeed-0114be6a8dee","audika-france-81200","AUDIKA FRANCE","81200","","52 RUE EDOUARD BARBEY","81"
"029f9600-219a-4bce-9a90-96dac6e5deaa","audika-france-63400","AUDIKA FRANCE","63400","","40 AVENUE JOSEPH CLAUSSAT","63"
"1e292c80-b151-48ba-a9a4-7ef0795c261e","audika-france-66000","AUDIKA FRANCE","66000","","21 BD CLEMENCEAU","66"
"63be8368-5e47-4a62-9fe2-0d29e78caf20","audika-france-83300","AUDIKA FRANCE","83300","","60 BD DES MARTYRS DE LA RESISTANCE","83"
"a2d6bac7-794f-4224-9b58-b0dc59966bcf","audika-france-83550","AUDIKA FRANCE","83550","","23 AVENUE WILSON","83"
"487a9592-c09e-4fb8-b28a-d32838dd5a5f","audika-france-84200","AUDIKA FRANCE","84200","","404 AV. NOTRE DAME DE SANTE","84"
"fe9094d7-e633-481c-b0b5-cbcfca5dd9b9","audika-france-84120","AUDIKA FRANCE","84120","","52 COURS DE LA REPUBLIQUE","84"
"1fd060c0-e281-4b26-a7c6-4b5907877f94","audika-france-84100","AUDIKA FRANCE","84100","","53 AVENUE CHARLES DE GAULLE","84"
"8b3eaa1d-da8a-4bf2-aac8-94a16a9bf5cc","audika-france-84000","AUDIKA FRANCE","84000","","17 BD SIXTE-ISNARD","84"
"416b200b-4ef2-477b-8b19-e0d45f5e0194","audika-france-85200","AUDIKA FRANCE","85200","","48 RUE DE LA REPUBLIQUE","85"
"2ef38aff-56ab-43bb-bfc8-8bcd44570ce0","audika-france-85600","AUDIKA FRANCE","85600","","18 AVENUE VILLEBOIS MAREUIL","85"
"9a05ab7a-cbd1-4374-8410-c6964c981c6f","audika-france-88300","AUDIKA FRANCE","88300","","14 RUE DE FRANCE","88"
"47487acc-bc55-4227-880e-528a4d8d50fd","audika-france-88100","AUDIKA FRANCE","88100","","19 RUE D'ALSACE","88"
"8cc661b4-4380-483d-9043-2eb8e260b407","audika-france-88000","AUDIKA FRANCE","88000","","24 QUAI DE DOGNEVILLE","88"
"3676ac09-7573-48da-b5fd-14cf55529b7b","audika-france-64500","AUDIKA FRANCE","64500","","3 RUE AUGUSTIN CHAHO","64"
"92d7ee91-bf3c-4f75-8530-58bf87a4af57","audika-france-92500","AUDIKA FRANCE","92500","","1 RUE JEAN MERMOZ","92"
"ca3aae0f-4447-490b-8d68-182a19a0378b","audika-france-92130","AUDIKA FRANCE","92130","","10 AVENUE VICTOR CRESSON","92"
"5521dd10-05ab-42f7-ab67-fc3609fcb1c2","audika-france-70000","AUDIKA FRANCE","70000","","200 A, RUE DU DOCTEUR COURVOISIER","70"
"8c372d77-de5c-46ee-8dad-82fd393c01ae","audika-france-75011","AUDIKA FRANCE","75011","","278/280 BD VOLTAIRE","75"
"b664f082-5116-40cb-ac12-0794d9fecd10","audika-france-75006","AUDIKA FRANCE","75006","","49 RUE SAINT-PLACIDE","75"
"bd806b7e-7deb-4137-8665-a4b2cbc6f94b","audika-france-94340","AUDIKA FRANCE","94340","","13 RUE DE PARIS","94"
"afdac9b8-606d-46cd-9ef0-0ed9ee495148","audika-france-94270","AUDIKA FRANCE","94270","","11 AV. EUGENE THOMAS","94"
"70b4a89d-b019-45be-a032-705365bbfe16","audika-france-95300","AUDIKA FRANCE","95300","","2 PLACE NOTRE DAME","95"
"5c143c2d-076d-4ce0-bdd9-6298a78579f9","audika-france-77410","AUDIKA FRANCE","77410","","9 AV. JEAN JAURES","77"
"2c510fec-d0de-408c-a8cc-9b117007fb5a","audika-france-05200","AUDIKA FRANCE","05200","","ZAC D'ENTRAIGUES","05"
"40dffe72-d0d0-478b-8739-b55a3f697b43","audika-france-06000","AUDIKA FRANCE","06000","","26  RUE DE PARIS","06"
"a45fe808-74c1-4814-99d1-ff1c121e98f5","audika-france-09200","AUDIKA FRANCE","09200","","7 AVENUE HENRI BERNERE","09"
"f53fc85e-1d19-4274-bd6d-7530a089bf4b","audika-france-18000","AUDIKA FRANCE","18000","","43 RUE D'AURON","18"
"61aefe6c-aaa7-4d96-9972-64ef231ed0a4","audika-france-08000","AUDIKA FRANCE","08000","","14 RUE FLANDRE","08"
"c5030ef0-84d9-4e3a-8e14-e8e882c80fdf","audika-france-21200","AUDIKA FRANCE","21200","","21 RUE D'ALSACE - 2 RUE THIERS","21"
"ea1106cc-1a61-48f0-9a1b-411453992da2","audika-france-06150","AUDIKA FRANCE","06150","","109 Avenue FRANCIS TONNER","06"
"2284dfa8-5e6d-47e7-8c5b-91f497bfa866","audika-france-14000","AUDIKA FRANCE","14000","","23 RUE DU 11 NOVEMBRE","14"
"f0dab103-af9b-4e03-b46c-f6ab91e76ff4","audika-france-31250","AUDIKA FRANCE","31250","","32 RUE VAURE","31"
"e004999b-c483-4672-b510-33e2e994025b","audika-france-32000","AUDIKA FRANCE","32000","","55 Rue DE LORRAINE","32"
"4e655b8e-de07-465c-a575-4afe4e9ec092","audika-france-34140","AUDIKA FRANCE","34140","","RD 613 - ANCIENNE ROUTE DE MONTPELLIER","34"
"45e1c7ab-1a5c-41b8-a04e-1c1ccef17299","audika-france-29910","AUDIKA FRANCE","29910","","2 BIS RUE DE PONT AVEN","29"
"60a9669e-0abe-4e3e-b251-7ecdab110f49","audika-france-39100","AUDIKA FRANCE","39100","","2 RUE DE BESANCON","39"
"00833381-7b84-45c4-b72c-7daed04eb2b7","audika-france-52000","AUDIKA FRANCE","52000","","AV. DES ETATS-UNIS","52"
"dc03bc69-16b4-4708-b515-0d989fcb2bc3","audika-france-51100","AUDIKA FRANCE","51100","","27 RUE COLBERT","51"
"1b5718a9-41e5-4d05-9047-ebf6d5f42a41","audika-france-57300","AUDIKA FRANCE","57300","","3 RUE DE LA GARE","57"
"6cfc3b57-3a20-477f-9c69-f4dc75b6ee96","audika-france-59360","AUDIKA FRANCE","59360","","14 PLACE SADI CARNOT","59"
"256ffaf0-ce2e-48d1-bf8d-3733b672689f","audika-france-50000","AUDIKA FRANCE","50000","","25 RUE DU MARECHAL LECLERC","50"
"cf2e04a7-0065-407a-9e40-8a008d05d02c","audika-france-56100","AUDIKA FRANCE","56100","","ET 3 RUE DE TURENNE","56"
"4dd3610c-801d-4108-b9dd-fc468a3c0c9a","audika-france-58000","AUDIKA FRANCE","58000","","27 RUE DU PETIT MOUESSE","58"
"ab79df6e-af54-40c1-8354-1542f086ebb2","audika-france-64140","AUDIKA FRANCE","64140","","20 ROUTE DE BAYONNE","64"
"6970d137-5bad-4d70-869a-540fe48a1731","audika-france-65100","AUDIKA FRANCE","65100","","1 RUE DE BAGNERES","65"
"5d7d203a-1796-41f8-87a5-cc443d6450b3","audika-france-62300","AUDIKA FRANCE","62300","","56 BD EMILE BASLY","62"
"4af6a923-69cf-44b6-abde-bfd67c82ad91","audika-france-63200","AUDIKA FRANCE","63200","","26 BD ETIENNE CLEMENTEL","63"
"886733f1-9b4d-42d7-9e7a-f64d6e442bfb","audika-france-71100","AUDIKA FRANCE","71100","","57 RUE D'AUTUN","71"
"843c47bf-43e8-43a5-8703-6ea5ff23be8d","audika-france-71300","AUDIKA FRANCE","71300","","32 RUE CARNOT","71"
"f3b92472-a7a6-4245-a3bb-0b67a1fb2988","audika-france-79300","AUDIKA FRANCE","79300","","8 RUE RENE HERY","79"
"721caa25-9558-4138-9d91-0fbbcd83eea2","audika-france-71200","AUDIKA FRANCE","71200","","35 RUE DU MARECHAL LECLERC","71"
"2dc2e762-c005-40b4-92d7-76d5024b5417","audika-france-69700","AUDIKA FRANCE","69700","","30 RUE ROGER SALENGRO","69"
